Publication,Authors,Journal,Year
GPhenoVision: A ground mobile system with multi-modal imaging for field-based high throughput phenotyping of cotton ," Y Jiang, C Li, JS Robertson, S Sun, R Xu, AH Paterson "," Scientific reports 8 (1), 1213",2018
Quantitative analysis of cotton canopy size in field conditions using a consumer-grade RGB-D camera ," Y Jiang, C Li, AH Paterson, S Sun, R Xu, J Robertson "," Frontiers in plant science 8, 2233",2018
Development of perennial grain sorghum ," S Cox, P Nabukalu, AH Paterson, W Kong, S Nakasagga "," Sustainability 10 (1), 172",2018
Genotyping by Sequencing of 393 Sorghum bicolor BTx623 × IS3620C Recombinant Inbred Lines Improves Sensitivity and Resolution of QTL Detection ," WQ Kong, C Kim, D Zhang, H Guo, X Tan, H Jin, C Zhou, L Shuang, ... "," G3: Genes, Genomes, Genetics 8 (8), 2563-2572",2018
Subtropical adaptation of a temperate plant (Brassica oleracea var. italica) utilizes non-vernalization-responsive QTLs ," Y Lin, J Lee, M Tseng, C Lee, C Shen, C Wang, C Liou, L Shuang, ... "," Scientific reports 8 (1), 13609",2018
The rise of cotton genomics ," SSA Zaidi, S Mansoor, A Paterson "," Trends in plant science 23 (11), 953-955",2018
Genetic Analysis of Gossypium Fiber Quality Traits in Reciprocal Advanced Backcross Populations ," R Chandnani, C Kim, H Guo, T Shehzad, JG Wallace, D He, Z Zhang, ... "," The plant genome 11 (1), 170057",2018
Evidence for fine-scale habitat specialisation in an invasive weed ," DZ Atwater, RA Fletcher, CC Dickinson, AH Paterson, JN Barney "," Journal of Plant Ecology 11 (2), 189-199",2018
High proportion of diploid hybrids produced by interspecific diploid × tetraploid Sorghum hybridization ," S Cox, P Nabukalu, AH Paterson, W Kong, S Auckland, L Rainville, S Cox, ... "," Genetic resources and crop evolution 65, 387-390",2018
3D computer vision and machine learning based technique for high throughput cotton boll mapping under field conditions ," S Sun, C Li, A Paterson, Y Jiang, J Robertson "," 2018 ASABE Annual International Meeting, 1",2018
Deep learning for thermal image segmentation to measure canopy temperature of Brassica oleracea in the field ," Y Jiang, L Shuang, C Li, AH Paterson, J Robertson "," 2018 ASABE Annual International Meeting, 1",2018
Erratum: Pearl millet genome sequence provides a resource to improve agronomic traits in arid environments ," RK Varshney, C Shi, M Thudi, C Mariac, J Wallace, P Qi, HE Zhang, ... "," Nature Biotechnology 36 (4), 368-369",2018
Advancing the Productivity Frontier for Sorghum , AH Paterson ," Plant and Animal Genome XXVI Conference (January 13-17, 2018)",2018
"Mark E. Sorrells: Plant Breeder, Geneticist, Innovator, Mentor "," A Gul, CH Diepenbrock, F Breseghello, E Minella, JD Munkvold, ... "," Plant Breeding Reviews 42, 1-38",2018
Genomics of Crop Ecosystem Services , AH Paterson ," Plant and Animal Genome XXVI Conference (January 13-17, 2018)",2018
The Rise of Cotton Genomics. ," Z Syed-Shan-e-Ali, S Mansoor, A Paterson ", Trends in Plant Science 23 (11),2018
Develop an In-Field Calibration Method for Aerial Thermal Imaging: Preliminary Result ," R Xu, C Li, AH Paterson "," 2018 ASABE Annual International Meeting, 1",2018
Gene duplication and evolution in recurring polyploidization–diploidization cycles in plants ," X Qiao, Q Li, H Yin, K Qi, L Li, R Wang, S Zhang, AH Paterson "," Genome biology 20 (1), 1-23",2019
"The genome of cultivated peanut provides insight into legume karyotypes, polyploid evolution and crop domestication "," W Zhuang, H Chen, M Yang, J Wang, MK Pandey, C Zhang, WC Chang, ... "," Nature genetics 51 (5), 865-876",2019
Whole-genome resequencing reveals Brassica napus origin and genetic loci involved in its improvement ," K Lu, L Wei, X Li, Y Wang, J Wu, M Liu, C Zhang, Z Chen, Z Xiao, H Jian, ... "," Nature communications 10 (1), 1154",2019
"Sequencing of cultivated peanut, Arachis hypogaea, yields insights into genome evolution and oil improvement "," X Chen, Q Lu, H Liu, J Zhang, Y Hong, H Lan, H Li, J Wang, H Liu, S Li, ... "," Molecular plant 12 (7), 920-934",2019
Molecular dissection of complex traits , AH Paterson , CRC press,2019
Multispectral imaging and unmanned aerial systems for cotton plant phenotyping ," R Xu, C Li, AH Paterson "," PloS one 14 (2), e0205083",2019
DeepSeedling: Deep convolutional network and Kalman filter for plant seedling detection and counting in the field ," Y Jiang, C Li, AH Paterson, JS Robertson "," Plant methods 15 (1), 141",2019
Assembly of the 373k gene space of the polyploid sugarcane genome reveals reservoirs of functional diversity in the world's leading biomass crop ," GM Souza, MA Van Sluys, CG Lembke, H Lee, GRA Margarido, CT Hotta, ... "," GigaScience 8 (12), giz129",2019
Joint QTL mapping and transcriptome sequencing analysis reveal candidate flowering time genes in Brassica napus L ," H Jian, A Zhang, J Ma, T Wang, B Yang, LS Shuang, M Liu, J Li, X Xu, ... "," BMC genomics 20 (1), 1-14",2019
Image processing algorithms for infield single cotton boll counting and yield prediction ," S Sun, C Li, AH Paterson, PW Chee, JS Robertson "," Computers and electronics in agriculture 166, 104976",2019
Gene duplication and genetic innovation in cereal genomes ," H Guo, Y Jiao, X Tan, X Wang, X Huang, H Jin, AH Paterson "," Genome research 29 (2), 261-269",2019
"13 Case History in Plant Domestication: Sorghum, An Example of Cereal Evolution "," AH Paterson, KF Schertz, Y Lin, Z Li "," Molecular dissection of complex traits, 187",2019
Polyploidy index and its implications for the evolution of polyploids ," J Wang, J Qin, P Sun, X Ma, J Yu, Y Li, S Sun, T Lei, F Meng, C Wei, X Li, ... "," Frontiers in genetics 10, 807",2019
"Of blending, beans, and bristles: the foundations of QTL mapping ", AH Paterson ," Molecular Dissection of Complex Traits, 1-10",2019
QTL mapping in DNA marker-assisted plant and animal improvement , AH Paterson ," Molecular dissection of complex traits, 131-144",2019
Mapping quantitative trait loci in experimental populations ," GA Churchill, RW Doerge "," Molecular dissection of complex traits, 31-41",2019
Genetic evaluation of exotic chromatins from two obsolete interspecific introgression lines of upland cotton for fiber quality improvement ," P Kumar, R Singh, EL Lubbers, X Shen, AH Paterson, BT Campbell, ... "," Crop Science 59 (3), 1073-1084",2019
High-resolution mapping of QTLs , AH Paterson ," Molecular dissection of complex traits, 163-174",2019
Molecular Dissection of Quantitative Variation in Bermudagrass Hybrids (Cynodon dactylon x transvaalensis): Morphological Traits ," S Khanal, JC Dunne, BM Schwartz, C Kim, S Milla-Lewis, PL Raymer, ... "," G3: Genes, Genomes, Genetics 9 (8), 2581-2596",2019
Prospects for cloning the genetic determinants of QTLs , AH Paterson ," Molecular Dissection of Complex Traits, 289-294",2019
Evaluation of a Chromosome Segment from Gossypium barbadense Harboring the Fiber Length QTL qFL‐Chr.25 in Four Diverse Upland Cotton Genetic … ," N Brown, P Kumar, R Singh, E Lubbers, BT Campbell, GO Myers, ... "," Crop Science 59 (6), 2621-2633",2019
"Registration of GA R01‐40‐08, a Gossypium hirsutum Upland Cotton Germplasm Line with qFL‐Chr.1 Introgressed from Gossypium barbadense Conferring … "," N Brown, X Shen, EL Lubbers, P Kumar, J McBlanchett, CW Smith, ... "," Journal of Plant Registrations 13 (3), 406-410",2019
Corrigendum to “Analysis of the Complete Mitochondrial Genome Sequence of the Diploid Cotton Gossypium raimondii by Comparative Genomics Approaches” ," C Bi, AH Paterson, X Wang, Y Xu, D Wu, Y Qu, A Jiang, Q Ye, N Ye ", BioMed Research International 2019,2019
Host-pathogen wars: new weapons from biotechnology and genomics ," MB da Silva, RF Davis, AH Paterson, ND Suassuna, SM Smith, PW Chee "," American Journal of Plant Sciences 10 (3), 402-416",2019
Genetic analysis of the transition from wild to domesticated cotton (G. hirsutumL.) ," CE Grover, M Yoo, M Lin, MD Murphy, DB Harker, RL Byers, AE Lipka, ... ", ,2019
Genetic analysis of the transition from wild to domesticated cotton (G. hirsutum L.) ," CE Grover, MJ Yoo, M Lin, MD Murphy, DB Harker, RL Byers, AE Lipka, ... "," bioRxiv, 616763",2019
Automated plant node detection using terrestrial LiDAR data under field conditions ," S Sun, C Li, A Paterson, J Adhikari, J Robertson, C Meng "," 2019 ASABE Annual International Meeting, 1",2019
6 Mapping QTLs ," SC Liu, YR Lin, JE Irvine, AH Paterson "," Molecular Dissection of Complex Traits, 95",2019
9 QTL Mapping in DNA ," MA Plant, AH Paterson "," Molecular Dissection of Complex Traits, 131",2019
13 Case History in Plant ," AH Paterson, KF Schertz, Y Lin, Z Li "," Molecular Dissection of Complex Traits, 187",2019
"1 Of Blending, Beans, and ", AH Paterson ," Molecular Dissection of Complex Traits, 1",2019
22 Prospects for Cloning the , AH Paterson ," Molecular Dissection of Complex Traits, 289",2019
13 Case History in Plant Domestication ," AH Paterson, KF Schertz, Y Lin, Z Li "," Molecular Dissection of Complex Traits, 4",2019
Mapping QTLs in Allopolyploids ," SC Liu, YR Lin, JE Irvine, AH Paterson "," Molecular Dissection of Complex Traits, 95-101",2019
Length Matters: How Might We Narrow the Quality Gap between Cotton and Synthetic Fibers , AH Paterson ," 한국육종학회 학술발표회지 2019 (1), 4-5",2019
The Genomes of Cultivated Peanut and its Suspected Wild Progenitors ," X Chen, Q Lu, Y Hong, S Yu, Z Liu, AH Paterson, RK Varshney, X Liang ", PAG ASIA 2019,2019
Toward Ratooning/Perennial Sorghums , AH Paterson ," Plant and Animal Genome XXVII Conference (January 12-16, 2019)",2019
Dissecting Morphological Variation by Near-Isogenic Introgression Lines (NIILs) in Brassica oleracea ," LS Shuang, HE Cuevas, C Lemke, C Kim, T Shehzad, AH Paterson "," Plant and Animal Genome XXVII Conference (January 12-16, 2019)",2019
The Genome of Arachis hypogaea Provide Insight into the Evolution and Domestication ," W Zhuang, H Chen, Y Meng, J Wang, MK Pandey, C Zhang, Q Yang, ... "," Plant and Animal Genome XXVII Conference (January 12-16, 2019)",2019
W527: The genome of Arachis hypogaea provide insight into the evolution and domestication ," W Zhuang, H Chen, Y Meng, J Wang, MK Pandey, C Zhang, Q Yang, ... ", Plant & Animal Genome Conference XXVII,2019
Three-dimensional photogrammetric mapping of cotton bolls in situ based on point cloud segmentation and clustering ," S Sun, C Li, PW Chee, AH Paterson, Y Jiang, R Xu, JS Robertson, ... "," ISPRS Journal of Photogrammetry and Remote Sensing 160, 195-207",2020
Deciphering the high‐quality genome sequence of coriander that causes controversial feelings ," X Song, J Wang, N Li, J Yu, F Meng, C Wei, C Liu, W Chen, F Nie, ... "," Plant Biotechnology Journal 18 (6), 1444-1456",2020
Preferential gene retention increases the robustness of cold regulation in Brassicaceae and other plants after polyploidization ," XM Song, JP Wang, PC Sun, X Ma, QH Yang, JJ Hu, SR Sun, YX Li, ... ", Horticulture research 7,2020
DeepFlower: a deep learning-based approach to characterize flowering patterns of cotton plants in the field ," Y Jiang, C Li, R Xu, S Sun, JS Robertson, AH Paterson "," Plant methods 16 (1), 1-17",2020
"The Evolution of an Invasive Plant, Sorghum halepense L. (‘Johnsongrass’) "," AH Paterson, WQ Kong, RM Johnston, P Nabukalu, G Wu, WL Poehlman, ... "," Frontiers in Genetics 11, 317",2020
The Ligon lintless -2 Short Fiber Mutation Is Located within a Terminal Deletion of Chromosome 18 in Cotton ," JD Patel, X Huang, L Lin, S Das, R Chandnani, S Khanal, J Adhikari, ... "," Plant Physiology 183 (1), 277-288",2020
"GaHD1, a candidate gene for the Gossypium arboreum SMA-4 mutant, promotes trichome and fiber initiation by cellular H2O2 and Ca2+ signals "," M Ding, Y Cao, S He, J Sun, H Dai, H Zhang, C Sun, Y Jiang, ... "," Plant molecular biology 103, 409-423",2020
Paleo-polyploidization in Lycophytes ," J Wang, J Yu, P Sun, C Li, X Song, T Lei, Y Li, J Yuan, S Sun, H Ding, ... "," Genomics, Proteomics & Bioinformatics 18 (3), 333-340",2020
Genetic Analysis of the Transition from Wild to Domesticated Cotton (Gossypium hirsutum L.) ," CE Grover, MJ Yoo, M Lin, MD Murphy, DB Harker, RL Byers, AE Lipka, ... "," G3: Genes, Genomes, Genetics 10 (2), 731-754",2020
Genetic analysis of stem diameter and water contents to improve sorghum bioenergy efficiency ," W Kong, H Jin, VH Goff, SA Auckland, LK Rainville, AH Paterson "," G3: Genes, Genomes, Genetics 10 (11), 3991-4000",2020
Evaluation and genetic analysis of a segregating sorghum population under moisture stress conditions ," T Birhan, K Bantte, A Paterson, M Getenet, A Gabizew "," Journal of Crop Science and Biotechnology 23, 29-38",2020
Agro-morphological diversity of Ethiopian sorghum [Sorghum bicolor (L.) Moench] landraces under water limited environments ," Z Wondimu, K Bantte, AH Paterson, W Worku "," Genetic Resources and Crop Evolution 67, 2149-2160",2020
Transmission Genetics of a Sorghum bicolor × S. halepense Backcross Populations ," W Kong, P Nabukalu, TS Cox, VH Goff, GJ Pierce, C Lemke, ... "," Frontiers in Plant Science 11, 467",2020
Preferential insertion of a Ty1 LTR-retrotransposon into the A sub-genome’s HD1 gene significantly correlated with the reduction in stem trichomes of tetraploid cotton ," M Tang, X Wu, Y Cao, Y Qin, M Ding, Y Jiang, C Sun, H Zhang, ... "," Molecular Genetics and Genomics 295, 47-54",2020
Reply to: Evaluating two different models of peanut’s origin ," W Zhuang, X Wang, AH Paterson, H Chen, M Yang, C Zhang, P Sun, ... "," Nature Genetics 52 (6), 560-563",2020
Ground based hyperspectral imaging to characterize canopy-level photosynthetic activities ," Y Jiang, JL Snider, C Li, GC Rains, AH Paterson "," Remote Sensing 12 (2), 315",2020
Validation of QTLs for Fiber Quality Introgressed from Gossypium mustelinum by Selective Genotyping ," Q Chen, W Wang, C Wang, M Zhang, J Yu, Y Zhang, B Yuan, Y Ding, ... "," G3: Genes, Genomes, Genetics 10 (7), 2377-2384",2020
Three-dimensional cotton plant shoot architecture segmentation and phenotypic trait characterization using terrestrial LiDAR point cloud data ," S Sun, C Li, A Paterson, P Chee "," 2020 ASABE Annual International Virtual Meeting, 1",2020
"Registration of eight upland cotton (Gossypium hirsutum L.) germplasm lines with qFL‐Chr.25, a fiber‐length QTL introgressed from Gossypium barbadense "," N Brown, P Kumar, S Khanal, R Singh, ND Suassuna, J McBlanchett, ... "," Journal of Plant Registrations 14 (1), 57-63",2020
"The celery genome sequence reveals sequential paleo‐polyploidizations, karyotype evolution and resistance gene reduction in apiales "," X Song, P Sun, J Yuan, K Gong, N Li, F Meng, Z Zhang, X Li, J Hu, ... "," Plant Biotechnology Journal 19 (4), 731-744",2021
Genome sequence and evolution of Betula platyphylla ," S Chen, Y Wang, L Yu, T Zheng, S Wang, Z Yue, J Jiang, S Kumari, ... ", Horticulture research 8,2021
High resolution 3D terrestrial LiDAR for cotton plant main stalk and node detection ," S Sun, C Li, PW Chee, AH Paterson, C Meng, J Zhang, P Ma, ... "," Computers and electronics in agriculture 187, 106276",2021
"Genetic diversity, population structure, and selection signature in Ethiopian sorghum [Sorghum bicolor L. (Moench)] germplasm "," Z Wondimu, H Dong, AH Paterson, W Worku, K Bantte "," G3 11 (6), jkab087",2021
Chromosome number is key to longevity of polyploid lineages ," JE Bowers, AH Paterson "," New Phytologist 231 (1), 19-28",2021
Quantitative trait mapping of plant architecture in two BC1F2 populations of Sorghum Bicolor × S. halepense and comparisons to two other sorghum populations ," WQ Kong, P Nabukalu, TS Cox, VH Goff, JS Robertson, GJ Pierce, ... "," Theoretical and Applied Genetics 134, 1185-1200",2021
Differentiation in the genetic basis of stem trichome development between cultivated tetraploid cotton species ," R Yuan, Y Cao, T Li, F Yang, L Yu, Y Qin, X Du, F Liu, M Ding, Y Jiang, ... "," BMC Plant Biology 21 (1), 1-14",2021
Detection of quantitative trait loci regulating seed yield potential in two interspecific S. bicolor2 × S. halepense subpopulations ," P Nabukalu, W Kong, TS Cox, AH Paterson "," Euphytica 217, 1-18",2021
Loquat (Eriobotrya japonica (Thunb.) Lindl) population genomics suggests a two‐staged domestication and identifies genes showing convergence/parallel … ," Y Wang, AH Paterson "," The Plant Journal 106 (4), 942-952",2021
Transcriptome analysis reveals genes potentially related to high fiber strength in a Gossypium hirsutum line IL9 with Gossypium mustelinum introgression ," Q Chen, W Wang, S Khanal, J Han, M Zhang, Y Chen, Z Li, K Wang, ... "," Genome 64 (11), 985-995",2021
New adaptive peaks for crops–an example from improvement of drought-resilience of sorghum in Ethiopia ," T Birhan, H Dong, N Abajebel, M Wakjira, C Lemke, V Vadez, ... "," bioRxiv, 2021.10. 18.464815",2021
Comparative evolution of vegetative branching in sorghum ," WQ Kong, P Nabukalu, TS Cox, V Goff, JS Robertson, G Pierce, C Lemke, ... "," Plos one 16 (8), e0255922",2021
"Genetic variation underlying kernel size, shape, and color in two interspecific S. bicolor2 × S. halepense subpopulations "," P Nabukalu, W Kong, TS Cox, GJ Pierce, R Compton, H Tang, ... "," Genetic Resources and Crop Evolution, 1-21",2021
Genotypic Variation in Thermotolerance of Thylakoid Component Processes for Diverse Cotton Genotypes ," N Kaur, J Snider, AH Paterson, G Virk "," ASA, CSSA, SSSA International Annual Meeting",2021
Physiological Contributors to Productivity of Diverse Cotton Genotypes ," N Kaur, J Snider, AH Paterson, G Virk "," ASA, CSSA, SSSA International Annual Meeting",2021
High-density genetic map and genome-wide association studies of aesthetic traits in Phalaenopsis orchids ," CC Hsu, SY Chen, SY Chiu, CY Lai, PH Lai, T Shehzad, WL Wu, ... "," Scientific reports 12 (1), 3346",2022
Pervasive genome duplications across the plant tree of life and their links to major evolutionary innovations and transitions ," X Qiao, S Zhang, AH Paterson "," Computational and Structural Biotechnology Journal 20, 3248-3256",2022
Cotton yield estimation from aerial imagery using machine learning approaches ," J Rodriguez-Sanchez, C Li, AH Paterson "," Frontiers in plant science 13, 870181",2022
GC content of plant genes is linked to past gene duplications ," JE Bowers, H Tang, JM Burke, AH Paterson "," Plos one 17 (1), e0261748",2022
Pyramiding novel EMS-generated mutant alleles to improve fiber quality components of elite upland cotton germplasm ," J Patel, R Chandnani, S Khanal, J Adhikari, N Brown, PW Chee, ... "," Industrial Crops and Products 178, 114594",2022
QTL analysis in multiple sorghum mapping populations facilitates dissection of the genetic control of agronomic and yield-related traits in sorghum [Sorghum bicolor (Moench)] ," B Techale, H Dong, G Mihrete, G Aregash, AH Paterson, B Kassahun "," Euphytica 218 (3), 24",2022
Virtual reality point cloud annotation ," A Franzluebbers, C Li, A Paterson, K Johnsen "," Proceedings of the 2022 ACM Symposium on Spatial User Interaction, 1-11",2022
Natural variation further increases resilience of sorghum bred for chronically drought-prone environments ," H Dong, T Birhan, N Abajebel, M Wakjira, T Mitiku, C Lemke, V Vadez, ... "," Journal of Experimental Botany 73 (16), 5730-5744",2022
"Identification of small effect quantitative trait loci of plant architectural, flowering, and early maturity traits in reciprocal interspecific introgression population in cotton "," R Chandnani, C Kim, JD Patel, H Guo, T Shehzad, JG Wallace, D He, ... "," Frontiers in Plant Science 13, 981682",2022
Unraveling the genetic components of perenniality: Toward breeding for perennial grains ," WQ Kong, P Nabukalu, S Cox, R Johnston, MJ Scanlon, JS Robertson, ... "," Plants, People, Planet 4 (4), 367-381",2022
Genetic improvement in Prosopis ," M Ewens, P Felker, A Paterson "," Prosopis as a Heat Tolerant Nitrogen Fixing Desert Food Legume, 139-156",2022
Exploiting genetic variation from unadapted germplasm—An example from improvement of sorghum in Ethiopia ," T Birhan, H Dong, N Abajebel, M Wakjira, C Lemke, V Vadez, ... "," Plants, People, Planet 4 (5), 523-536",2022
Strategies for Enhancing Use of Germplasm Collections in Crop Improvement for Sustainable Conservation ," HD Upadhyaya, AH Paterson "," Souvenir, 47",2022
Impact of Physiological Factors on Productivity in Diverse Cotton Genotypes ," N Kaur, J Snider, AH Paterson, G Virk, V Parkash "," ASA, CSSA, SSSA International Annual Meeting",2022
Effect of High Temperature on Photosynthetic Processes and Their Thermotolerance in Diverse Cotton Genotypes ," N Kaur, J Snider, AH Paterson, G Virk, V Parkash "," ASA, CSSA, SSSA International Annual Meeting",2022
Interspecific Hybridization in Plant Biology ," AH Paterson, D Tao, R Kalendar ", Frontiers Media SA,2022
Mini Core Germplasm Collections for Developing Climate Resilient Crop Cultivars and Achieving Enhanced Genetic Gains in Plant Breeding Programs ," HD Upadhyaya, AH Paterson "," Indian Journal of Plant Genetic Resources 35 (03), 69–73-69–73",2022
Interspecific hybridization in plant biology ," D Tao, R Kalendar, AH Paterson "," Frontiers in plant science 13, 1026492",2022
Improved Upland Cotton Germplasm for Multiple Fiber Traits Mediated by Transferring and Pyramiding Novel Alleles From Ethyl Methanesulfonate-Generated Mutant Lines Into Elite … ," JD Patel, S Khanal, R Chandnani, J Adhikari, N Brown, PW Chee, ... "," Frontiers in Plant Science 13, 842741",2022
Discussion: Prioritize perennial grain development for sustainable food production and environmental benefits ," LR DeHaan, JA Anderson, P Bajgain, A Basche, DJ Cattani, J Crain, ... "," Science of The Total Environment, 164975",2023
"Unoccupied aerial systems imagery for phenotyping in cotton, maize, soybean, and wheat breeding "," AW Herr, A Adak, ME Carroll, D Elango, S Kar, C Li, SE Jones, AH Carter, ... ", Crop Science 63 (4),2023
"Variation in thermotolerance of photosystem II energy trapping, intersystem electron transport, and photosystem I electron acceptor reduction for diverse cotton genotypes "," N Kaur, JL Snider, AH Paterson, TL Grey, C Li, G Virk, V Parkash "," Plant Physiology and Biochemistry 201, 107868",2023
Comparative transmission genetics of introgressed chromatin in reciprocal advanced backcross populations in Gossypium (cotton) polyploids ," J Adhikari, R Chandnani, D Vitrakoti, S Khanal, W Ployaram, AH Paterson "," Heredity 130 (4), 209-222",2023
Adaptive constraints at the range edge of a widespread and expanding invasive plant ," RA Fletcher, DZ Atwater, DC Haak, MV Bagavathiannan, A DiTommaso, ... "," AoB Plants 15 (6), plad070",2023
"Genotypic variation in growth, single leaf physiology, and acclimation potential of thylakoid processes in cotton exposed to high temperature extremes "," N Kaur, JL Snider, V Parkash, AH Paterson, TL Grey, V Tishchenko "," Environmental and Experimental Botany 215, 105512",2023
"Genome and evolution of Prosopis alba Griseb., a drought and salinity tolerant tree legume crop for arid climates "," W Kong, M Liu, P Felker, M Ewens, C Bessega, C Pometti, J Wang, P Xu, ... "," Plants, People, Planet 5 (6), 933-947",2023
Genetic dissection of morphological variation between cauliflower and a rapid cycling Brassica oleracea line ," LS Shuang, H Cuevas, C Lemke, C Kim, T Shehzad, AH Paterson "," G3: Genes, Genomes, Genetics 13 (11), jkad163",2023
Physiological Contributors to Genotypic Variation in Early Season Heat Tolerance in Cotton. ," N Kaur, J Snider, AH Paterson, TL Grey, V Parkash "," ASA, CSSA, SSSA International Annual Meeting",2023
CaHMA1 promotes Cd accumulation in pepper fruit ," W Xu, H Huang, X Li, M Yang, S Chi, Y Pan, N Li, AH Paterson, Y Chai, ... "," Journal of Hazardous Materials 460, 132480",2023
The geographic distributions and complex genetic relationships among four Sorghum taxa identified in Taiwan ," WH Hsieh, HC Liao, HS Chin, YT Kuo, CH Chen, YC Tsai, AH Paterson, ... "," Weed Research 63 (5), 317-327",2023
Genome-wide association study reveals genomic loci influencing agronomic traits in Ethiopian sorghum (Sorghum bicolor (L.) Moench) landraces ," Z Wondimu, H Dong, AH Paterson, W Worku, K Bantte "," Molecular Breeding 43 (5), 1-15",2023
